eval_gpt2_opengpt_original:   0.14192155465555495 0.9578496701549143
eval_gpt2_opengpt_final:   0.13946249947798195 0.9676432330682518
eval_gpt2_opengpt_gpt2:   0.9173116852698732 0.9281855292131717

eval_roberta_opengpt_gpt2:   0.1582131598943187 0.7763913817538182
eval_roberta_opengpt_original:   0.9347678437877455 0.7328124404646357
eval_roberta_opengpt_final:   0.913165514259779 0.866107314274631

eval_t5_opengpt_final:   0.9887158079574467 0.9755910230266333
eval_t5_opengpt_gpt2:   0.036808986633123056 0.9343296845412762
eval_t5_opengpt_original:   0.9901897404111538 0.9662234844442857
